Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02211","Raw milk of cattle","2023","2023","","109.35","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2016","2016","","101.27","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2017","2017","","102.6","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2018","2018","","103.44","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2019","2019","","102.34","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2020","2020","","103.41","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2021","2021","","105.28","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2022","2022","","106.6","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2023","2023","","106.98","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2016","2016","","100.27","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2017","2017","","100.64","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2018","2018","","100.51","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2019","2019","","98.49","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2020","2020","","98.71","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2021","2021","","99.83","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2022","2022","","100.33","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","02292","Raw milk of goats","2023","2023","","99.8","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","0113","Rice","2016","2016","","105.53","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","0113","Rice","2017","2017","","110.31","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","0113","Rice","2018","2018","","117.87","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","0113","Rice","2019","2019","","101.86","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","0113","Rice","2020","2020","","122.68","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","0113","Rice","2021","2021","","106.77","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","0113","Rice","2022","2022","","102.32","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","0113","Rice","2023","2023","","104.72","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","0113","Rice","2016","2016","","104.5","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","0113","Rice","2017","2017","","108.23","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","0113","Rice","2018","2018","","114.55","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","0113","Rice","2019","2019","","98.05","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","0113","Rice","2020","2020","","117.13","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","0113","Rice","2021","2021","","101.26","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","0113","Rice","2022","2022","","96.31","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","0113","Rice","2023","2023","","97.72","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","0116","Rye","2016","2016","","86.12","E","Estimated value"
